Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
9d,2D,3/2,7p,2P,1/2,2508.2553,0.0089,2508.255(9),1.2007896,0.032655,1.201(33),46283.472801464304,2517.3216578133624,4.63(25)E+04,0.030455768608976034,0.0017383120783670911,0.0305(17),,
10d,2D,3/2,7p,2P,1/2,2276.5612,0.0056,2276.561(6),0.9490939,0.0221423,0.949(22),38671.20326967931,1804.3934216990049,3.87(18)E+04,0.03442209499905518,0.0016824260022192104,0.0344(17),,
11d,2D,3/2,7p,2P,1/2,2136.9804,0.2284,2137.0(2)*,0.7907049,0.0600526,0.791(60),32451.481681998353,4929.273084574,3.25(49)E+04,0.03719793967182836,0.005660692416946453,0.0372(57),,
12d,2D,3/2,7p,2P,1/2,2045.2073,0.2092,2045.2(2)*,0.6610855,0.0414569,0.661(41),25876.80189291577,3245.4960797519375,2.59(32)E+04,0.038640271549708255,0.004859260335451738,0.0386(49),,
7p,2P,3/2,4d,2D,3/2,1174.4725,0.002,1174.472(2),0.4791787,0.0075987,0.4792(76),71791.6289019712,2276.908625590099,7.18(23)E+04,0.01831342448428402,0.000728566294997465,0.01831(73),,
7p,2P,3/2,4d,2D,5/2,1174.4109,0.002,1174.411(2),1.4387829,0.0219885,1.439(22),647347.6528258699,19786.45153900861,6.47(20)E+05,0.16513279523567917,0.005813437612736328,0.1651(58),,
7p,2P,3/2,5d,2D,3/2,4609.1998,0.03,4609.20(3),4.660909,0.1908344,4.66(19),112375.5851869848,9202.122583163547,1.124(92)E+05,0.028666041217830143,0.00238716753403911,0.0287(24),,
7p,2P,3/2,5d,2D,5/2,4615.5011,0.0301,4615.50(3),14.004618,0.555311,14.00(56),1010399.872313816,80128.73761625367,1.010(80)E+06,0.2577442808243792,0.015594745649719664,0.258(16),,
6d,2D,3/2,7p,2P,3/2,12239.6474,0.2119,12239.6(2),14.16669,0.020949,14.167(21),55441.80697065686,163.99448242045682,5.544(16)E+04,0.014591656431125019,0.0006630767750600143,0.01459(66),,
6d,2D,5/2,7p,2P,3/2,12205.8393,0.2107,12205.8(2),42.496028,0.060291,42.496(60),335358.8680026214,951.7354738957121,3.3536(95)E+05,0.08461678659332059,0.004254243552387538,0.0846(43),,
7d,2D,3/2,7p,2P,3/2,4149.3724,0.0243,4149.37(2),0.987567,0.0504311,0.988(50),6915.016233024588,706.2444984675066,6.92(71)E+03,0.002395442433998969,0.0002563602171519982,0.00240(26),,
7d,2D,5/2,7p,2P,3/2,4146.7794,0.0243,4146.78(2),2.9006585,0.1439583,2.90(14),39845.24129576567,3955.0007627535306,3.98(40)E+04,0.013284718879461449,0.0013851145589166042,0.0133(14),,
8d,2D,3/2,7p,2P,3/2,2983.89,0.0126,2983.89(1),0.7840434,0.0227677,0.784(23),11720.310164756698,680.6881151885289,1.172(68)E+04,0.0056033170823282675,0.00035479825224969116,0.00560(35),,
8d,2D,5/2,7p,2P,3/2,2982.9883,0.0126,2982.99(1),2.323862,0.0662221,2.324(66),68704.00724447235,3915.6574276804354,6.87(39)E+04,0.031698697776692646,0.0019637997126811927,0.0317(20),,
9d,2D,3/2,7p,2P,3/2,2530.5277,0.0091,2530.528(9),0.5877061,0.0145526,0.588(15),10796.784918559291,534.6934324279583,1.080(53)E+04,0.0071045745553933596,0.00038242536115455823,0.00710(38),,
9d,2D,5/2,7p,2P,3/2,2530.0827,0.0091,2530.083(9),1.7459592,0.0419349,1.746(42),63559.44491837744,3053.1744773295313,6.36(31)E+04,0.040427871044897784,0.0020931081050930347,0.0404(21),,
10d,2D,3/2,7p,2P,3/2,2294.8939,0.0057,2294.894(6),0.4597591,0.0098415,0.4598(98),8858.907580231811,379.26357638774994,8.86(38)E+03,0.007885509953958,0.0003669567520616728,0.00789(37),,
10d,2D,5/2,7p,2P,3/2,2294.6316,0.0057,2294.632(6),1.3672205,0.0282431,1.367(28),52246.14597516004,2158.529877800528,5.22(22)E+04,0.04500386716940197,0.001998931974988063,0.0450(20),,
11d,2D,3/2,7p,2P,3/2,2153.126,0.2318,2153.1(2)*,0.3801757,0.0269217,0.380(27),7334.4521340618185,1038.764094805699,7.3(10)E+03,0.008407212671589292,0.001233402692254563,0.0084(12),,
11d,2D,5/2,7p,2P,3/2,2152.9591,0.2318,2153.0(2)*,1.1305008,0.0768577,1.131(77),43246.44819960712,5880.282295827468,4.32(59)E+04,0.04811544503273355,0.0065968240779632785,0.0481(66),,
12d,2D,3/2,7p,2P,3/2,2059.9911,0.2122,2060.0(2)*,0.3167136,0.0185856,0.317(19),5812.256002795086,682.1597786293071,5.81(68)E+03,0.00867909223070988,0.0010571224565733076,0.0087(11),,
12d,2D,5/2,7p,2P,3/2,2059.8638,0.2122,2059.9(2)*,0.9420365,0.0532641,0.942(53),34287.51620138549,3877.3455423113833,3.43(39)E+04,0.04972056340933781,0.005676651328670808,0.0497(57),,
6d,2D,3/2,4f,2F,5/2,5277.0198,0.0394,5277.02(4),9.3610712,0.0708584,9.361(71),302059.32209224434,4572.866339416694,3.021(46)E+05,0.07949859664785637,0.003770317812944843,0.0795(38),,
6d,2D,5/2,4f,2F,5/2,5270.7255,0.0393,5270.73(4),2.4938371,0.0181292,2.494(18),14343.033472249095,208.53649997667992,1.434(21)E+04,0.003618993019778051,0.00018912150526681788,0.00362(19),,
6d,2D,5/2,4f,2F,7/2,5270.6533,0.0393,5270.65(4),11.152424,0.08107,11.152(81),286854.22314366285,4170.447500305274,2.869(42)E+05,0.07237823388332272,0.003762148729014488,0.0724(38),,
8s,2S,1/2,5p,2P,1/2,607.2432,0.0004,607.2432(4),0.5022811,0.003119,0.5023(31),1141413.3771651143,14175.60154441807,1.141(14)E+06,0.18468887563485578,0.002114177455074224,0.1847(21),,
8s,2S,1/2,5p,2P,3/2,616.1327,0.0004,616.1327(4),0.707779,0.0046757,0.7078(47),2169751.3697469183,28667.44164421756,2.170(29)E+06,0.3510813425728566,0.00325132643386027,0.3511(33),,
8s,2S,1/2,6p,2P,1/2,1875.5621,0.005,1875.562(5),1.8512048,0.0102944,1.851(10),526201.296899521,5852.327123744162,5.262(59)E+05,0.08514314605576691,0.0009944040945989168,0.08514(99),,
8s,2S,1/2,6p,2P,3/2,1903.2303,0.0051,1903.230(5),2.5975176,0.0155197,2.598(16),991471.668395169,11847.732106958914,9.91(12)E+05,0.16042723111806453,0.00183442026024407,0.1604(18),,
8s,2S,1/2,7p,2P,1/2,8252.2141,0.0963,8252.2(1),15.990035,0.1599003,15.99(16),460919.07736581424,9218.392787505218,4.609(92)E+05,0.07458001444557551,0.0014425187642822135,0.0746(14),,
8s,2S,1/2,7p,2P,3/2,8498.2995,0.1021,8498.3(1),23.226375,0.035835,23.226(36),890438.8136633442,2747.8288383726403,8.904(27)E+05,0.14407939017288068,0.000917491450906529,0.14408(92),,
8p,2P,1/2,8s,2S,1/2,12688.3587,0.2277,12688.4(2),25.87933,0.057846,25.879(58),332144.4706810629,1484.9396986193296,3.321(15)E+05,0.16762759296191962,0.0033270458094425545,0.1676(33),,
8p,2P,3/2,8s,2S,1/2,12391.973,0.2172,12392.0(2),36.199927,0.087625,36.200(88),348819.9634412547,1688.7963435854185,3.488(17)E+05,0.16302711373213558,0.0029080565781401655,0.1630(29),,
9p,2P,1/2,8s,2S,1/2,5229.8684,0.0387,5229.87(4),2.9407443,0.0257696,2.941(26),61246.257407380894,1073.3968410771085,6.12(11)E+04,0.05021031960021159,0.0011365551217507092,0.0502(11),,
9p,2P,3/2,8s,2S,1/2,5199.1968,0.0382,5199.20(4),4.430614,0.0350916,4.431(35),70749.98784550668,1120.7172085194848,7.07(11)E+04,0.053938785519863044,0.001108257000051704,0.0539(11),,
10p,2P,1/2,8s,2S,1/2,3835.7766,0.0208,3835.78(2),1.1986254,0.0140306,1.199(14),25789.584774130093,603.7640041515835,2.579(60)E+04,0.03198533285920457,0.0008417457691736694,0.03199(84),,
10p,2P,3/2,8s,2S,1/2,3825.0513,0.0207,3825.05(2),1.8449967,0.0196011,1.845(20),30809.645394531017,654.6386956985073,3.081(65)E+04,0.03564875278972066,0.0008557249757336187,0.03565(86),,
11p,2P,1/2,8s,2S,1/2,3260.798,0.015,3260.80(2),0.6854082,0.0053937,0.6854(54),13726.639481446995,216.03886219317448,1.373(22)E+04,0.024466774817491467,0.0004834414111794205,0.02447(48),,
11p,2P,3/2,8s,2S,1/2,3255.522,0.015,3255.52(1),1.0743455,0.0076412,1.0743(76),16944.67890833386,241.035573014859,1.694(24)E+04,0.028230719560353713,0.0005112493707614469,0.02823(51),,
12p,2P,1/2,8s,2S,1/2,2952.7408,0.0445,2952.74(4),0.4630898,0.0044667,0.4631(45),8439.015217027749,162.7962991093031,8.44(16)E+03,0.020771243782721938,0.00046308345496474354,0.02077(46),,
12p,2P,3/2,8s,2S,1/2,2949.6576,0.0444,2949.66(4),0.7324705,0.0069952,0.7325(70),10589.434643759989,202.26185285906135,1.059(20)E+04,0.0243992080991597,0.0005297266603197983,0.02440(53),,
13p,2P,1/2,8s,2S,1/2,2763.7945,0.0389,2763.79(4),0.3420372,0.0038835,0.3420(39),5613.926799963151,127.48158631861989,5.61(13)E+03,0.018534973643389817,0.00047349395264097025,0.01853(47),,
13p,2P,3/2,8s,2S,1/2,2761.8099,0.0389,2761.81(4),0.544287,0.0059097,0.5443(59),7123.310679139739,154.68570374246647,7.12(15)E+03,0.022036224479974928,0.0005329382448949109,0.02204(53),,
8p,2P,1/2,4d,2D,3/2,954.263,0.0013,954.263(1),0.5427834,0.009851,0.5428(99),343467.87802648917,12467.227582441605,3.43(12)E+05,0.1733423215965678,0.006107523100116452,0.1733(61),,
8p,2P,1/2,5d,2D,3/2,2418.7283,0.0083,2418.728(8),2.4309874,0.0354028,2.431(35),423098.4784658682,12323.282094395618,4.23(12)E+05,0.21353051395272776,0.006286278106226618,0.2135(63),,
8p,2P,1/2,6d,2D,3/2,8712.2205,0.1073,8712.2(1),17.885342,0.525372,17.89(53),490055.45412067353,28790.219942093197,4.90(29)E+05,0.24732254619101962,0.011400600730925308,0.247(11),,
7d,2D,3/2,8p,2P,1/2,22463.1772,0.7136,22463.2(7),47.746459,0.078364,47.746(78),101876.98924987928,334.55266266263146,1.0188(33)E+05,0.035291379640113404,0.001161041629854053,0.0353(12),,
8d,2D,3/2,8p,2P,1/2,7212.4053,0.0736,7212.41(7),1.9490212,0.1664815,1.95(17),5128.6145905681815,876.1520538298621,5.13(88)E+03,0.0024519192188635426,0.00042266953579403097,0.00245(42),,
9d,2D,3/2,8p,2P,1/2,5032.9279,0.0358,5032.93(4),1.791978,0.0511009,1.792(51),12758.820516935293,727.6732828099829,1.276(73)E+04,0.008395646693455196,0.0005091585018960169,0.00840(51),,
10d,2D,3/2,8p,2P,1/2,4179.4313,0.0188,4179.43(2),1.389067,0.0344284,1.389(34),13387.581152919855,663.6296392388643,1.339(66)E+04,0.011916582658152942,0.00062608134136786,0.01192(63),,
11d,2D,3/2,8p,2P,1/2,3731.9281,0.6965,3731.9(7)*,1.1288012,0.112646,1.13(11),12417.736024482536,2478.405934272744,1.24(25)E+04,0.014233993998358063,0.0028646232165510615,0.0142(29),,
12d,2D,3/2,8p,2P,1/2,3460.7345,0.599,3460.7(6)*,0.924016,0.0738729,0.924(74),10434.25506371584,1668.3969657769094,1.04(17)E+04,0.015580845374531261,0.0025157129262697205,0.0156(25),,
8p,2P,3/2,4d,2D,3/2,952.5496,0.0013,952.550(1),0.2440041,0.0041747,0.2440(42),34893.03674141279,1193.979621876073,3.49(12)E+04,0.01630787129607592,0.0006177850460367486,0.01631(62),,
8p,2P,3/2,4d,2D,5/2,952.5091,0.0013,952.509(1),0.7325899,0.012082,0.733(12),314573.202699635,10375.991982142596,3.15(10)E+05,0.14702129083340823,0.0048102056345157,0.1470(48),,
8p,2P,3/2,5d,2D,3/2,2407.7506,0.0082,2407.751(8),1.0828531,0.014831,1.083(15),42551.20664123286,1165.5819050495704,4.26(12)E+04,0.01988705100506136,0.0006360420670723059,0.01989(64),,
8p,2P,3/2,5d,2D,5/2,2409.469,0.0082,2409.469(8),3.2543468,0.0426183,3.254(43),383504.9190336256,10044.614134312566,3.84(10)E+05,0.17923773466210374,0.00488395334752834,0.1792(49),,
8p,2P,3/2,6d,2D,3/2,8571.4555,0.1039,8571.5(1),7.7796557,0.2323903,7.78(23),48681.543993097664,2908.3859607769205,4.87(29)E+04,0.022752171438018276,0.0013856826689742233,0.0228(14),,
8p,2P,3/2,6d,2D,5/2,8588.1141,0.1043,8588.1(1),23.396867,0.671563,23.40(67),437753.189027293,25129.766655608575,4.38(25)E+05,0.2045916129057113,0.00970337190370259,0.2046(97),,
7d,2D,3/2,8p,2P,3/2,23456.3934,0.7781,23456.4(8),21.530607,0.034583,21.531(35),18194.333596142376,58.47642687480321,1.8194(58)E+04,0.006302729781947214,0.00020736874753284507,0.00630(21),,
7d,2D,5/2,8p,2P,3/2,23373.77,0.7726,23373.8(8),64.570939,0.099193,64.571(99),110256.43968554639,338.92528504082105,1.1026(34)E+05,0.036760369826859,0.0013198437900478995,0.0368(13),,
8d,2D,3/2,8p,2P,3/2,7311.8122,0.0756,7311.81(8),1.1279316,0.0744367,1.128(74),1648.533409463809,217.58658101049676,1.65(22)E+03,0.0007881408669383261,0.00010593823443913845,0.00079(11),,
8d,2D,5/2,8p,2P,3/2,7306.4005,0.0755,7306.40(8),3.2888066,0.2122021,3.29(21),9364.450703278955,1208.4360095367688,9.4(12)E+03,0.004320576114748519,0.000568356888143924,0.00432(57),,
9d,2D,3/2,8p,2P,3/2,5081.133,0.0365,5081.13(4),0.91847,0.0226909,0.918(23),3257.283658616756,160.94310058953602,3.26(16)E+03,0.0021433801613411395,0.00011563620450203658,0.00214(12),,
9d,2D,5/2,8p,2P,3/2,5079.3393,0.0365,5079.34(4),2.7138541,0.0657135,2.714(66),18978.740137813234,919.1058307925962,1.898(92)E+04,0.012071692253943713,0.0006442562721305506,0.01207(64),,
10d,2D,3/2,8p,2P,3/2,4212.6193,0.0191,4212.62(2),0.6921352,0.0152538,0.692(15),3245.8806198086972,143.0703601144259,3.25(14)E+03,0.0028892302696526258,0.00013835876535586182,0.00289(14),,
10d,2D,5/2,8p,2P,3/2,4211.7357,0.0191,4211.74(2),2.0513843,0.0438567,2.051(44),19020.71184505647,813.2905135339848,1.902(81)E+04,0.016384090603532214,0.0007663740014881734,0.01638(77),,
11d,2D,3/2,8p,2P,3/2,3758.3671,0.7064,3758.4(7)*,0.5540277,0.0508015,0.554(51),2928.6852003131826,537.0933780385589,2.93(54)E+03,0.0033570441086965427,0.0006299108634319104,0.00336(63),,
11d,2D,5/2,8p,2P,3/2,3757.8586,0.7062,3757.9(7)*,1.6434229,0.144907,1.64(14),17186.736320139757,3030.858492990217,1.72(30)E+04,0.01912174296688907,0.0034204927065285174,0.0191(34),,
12d,2D,3/2,8p,2P,3/2,3483.4588,0.6068,3483.5(6)*,0.4503071,0.033287,0.450(33),2429.925011071559,359.2455866328525,2.43(36)E+03,0.0036284608376948514,0.0005502664996976645,0.00363(55),,
12d,2D,5/2,8p,2P,3/2,3483.0948,0.6067,3483.1(6)*,1.3365943,0.0953316,1.337(95),14276.422155315931,2036.5241689434167,1.43(20)E+04,0.02070233810062853,0.003001851740773661,0.0207(30),,
7d,2D,3/2,4f,2F,5/2,2866.9766,0.0116,2866.98(1),2.3274818,0.029835,2.327(30),116441.41224788471,2985.226285160327,1.164(30)E+05,0.0403366659706811,0.0016516097710772182,0.0403(17),,
7d,2D,3/2,5f,2F,5/2,9976.794,0.1408,9976.8(1),19.62776,0.136184,19.63(14),196505.984651228,2726.8619108981725,1.965(27)E+05,0.06807196950894387,0.0023957573734150256,0.0681(24),,
7d,2D,5/2,4f,2F,5/2,2865.7384,0.0116,2865.74(1),0.621437,0.0075967,0.6214(76),5541.159176991155,135.4748079442133,5.54(14)E+03,0.0018474663357227112,0.00008001636282790544,0.001847(80),,
7d,2D,5/2,4f,2F,7/2,2865.7171,0.0116,2865.72(1),2.7790955,0.0339722,2.779(34),110821.25422227937,2709.4011537978417,1.108(27)E+05,0.03694868346471186,0.0015822904828514343,0.0369(16),,
7d,2D,5/2,5f,2F,5/2,9961.8164,0.1403,9961.8(1),5.2272633,0.0343376,5.227(34),9333.600646124283,122.62443443766216,9.33(12)E+03,0.0031118963440710202,0.0001185739997525853,0.00311(12),,
7d,2D,5/2,5f,2F,7/2,9961.6278,0.1403,9961.6(1),23.376201,0.153561,23.38(15),186669.33835727544,2452.5181402120625,1.867(25)E+05,0.06223703516020635,0.0023547244580639976,0.0622(24),,
9s,2S,1/2,5p,2P,1/2,558.0332,0.0003,558.0332(3),0.3314889,0.002127,0.3315(21),640612.1885527703,8220.98197443381,6.406(82)E+05,0.17446401852624507,0.002054318245883276,0.1745(21),,
9s,2S,1/2,5p,2P,3/2,565.5313,0.0003,565.5313(3),0.4661778,0.0031886,0.4662(32),1217223.8579121544,16651.329255071163,1.217(17)E+06,0.33149816611689453,0.003222430947639862,0.3315(32),,
9s,2S,1/2,6p,2P,1/2,1474.0675,0.0031,1474.067(3),0.9348055,0.0057205,0.9348(57),276393.44836121507,3382.7548755902912,2.764(34)E+05,0.07527286017514107,0.0009481669845978581,0.07527(95),,
9s,2S,1/2,6p,2P,3/2,1491.1041,0.0031,1491.104(3),1.3037247,0.0086075,1.3037(86),519380.0083242592,6858.141017580993,5.194(69)E+05,0.14144770426418546,0.0017692940695784869,0.1414(18),,
9s,2S,1/2,7p,2P,1/2,3753.7383,0.0199,3753.74(2),2.9981154,0.0165175,2.998(17),172163.8805319381,1897.0049378072779,1.722(19)E+05,0.046887029281366926,0.0005576466363882964,0.04689(56),,
9s,2S,1/2,7p,2P,3/2,3803.842,0.0205,3803.84(2),4.1858575,0.0250502,4.186(25),322506.74133906834,3860.0768146744063,3.225(39)E+05,0.08783133243675906,0.0010739885859720986,0.0878(11),,
9s,2S,1/2,8p,2P,1/2,15058.1773,0.3207,15058.2(3),24.581968,0.040269,24.582(40),179288.8960051455,587.51661117136,1.7929(59)E+05,0.04882745260413522,0.000313099028714761,0.04883(31),,
9s,2S,1/2,8p,2P,3/2,15498.0852,0.3397,15498.1(3),35.569549,0.064774,35.570(65),344318.13349523605,1254.2468544958936,3.443(13)E+05,0.09377143659527269,0.0006092214195498823,0.09377(61),,
9p,2P,1/2,9s,2S,1/2,21744.8503,0.6687,21744.9(7),36.722798,0.077083,36.723(77),132873.86682889462,557.952536899865,1.3287(56)E+05,0.10893137968607926,0.0017218797576580497,0.1089(17),,
9p,2P,3/2,9s,2S,1/2,21224.2576,0.6371,21224.3(6),51.322398,0.118156,51.32(12),139548.0172487569,642.6663330862128,1.3955(64)E+05,0.10638942565671251,0.0015599910558832231,0.1064(16),,
10p,2P,1/2,9s,2S,1/2,8659.3657,0.106,8659.4(1),4.2440292,0.0343739,4.244(34),28101.907492232294,455.21583133918125,2.810(46)E+04,0.03485317320887124,0.00071737613960269,0.03485(72),,
10p,2P,3/2,9s,2S,1/2,8604.8967,0.1047,8604.9(1),6.3676838,0.0467213,6.368(47),32235.418367185135,473.04023218467154,3.224(47)E+04,0.03729846435197818,0.0007039483981748886,0.03730(70),,
11p,2P,1/2,9s,2S,1/2,6193.7952,0.0543,6193.80(5),1.7286599,0.0130694,1.729(13),12740.483434950298,192.6471784081756,1.274(19)E+04,0.022709020637587937,0.0004386393129314518,0.02271(44),,
11p,2P,3/2,9s,2S,1/2,6174.7872,0.0539,6174.79(5),2.6531523,0.018235,2.653(18),15144.874699974367,208.18050385315595,1.514(21)E+04,0.025232151800845943,0.0004488589562836995,0.02523(45),,
12p,2P,1/2,9s,2S,1/2,5169.3772,0.1363,5169.4(1),0.9948286,0.0080076,0.9948(80),7258.036689107769,116.84456231708299,7.26(12)E+03,0.017864459960826466,0.00035291667760411864,0.01786(35),,
12p,2P,3/2,9s,2S,1/2,5159.9348,0.1358,5159.9(1),1.5461685,0.0124913,1.546(12),8814.310123183484,142.42109644058698,8.81(14)E+03,0.02030912831336213,0.0003931867747773469,0.02031(39),,
13p,2P,1/2,9s,2S,1/2,4616.8073,0.1087,4616.8(1),0.6705457,0.0067106,0.6705(67),4628.804413667781,92.6476698418565,4.629(93)E+03,0.015282487795940254,0.0003565861561605889,0.01528(36),,
13p,2P,3/2,9s,2S,1/2,4611.2721,0.1084,4611.3(1),1.0504623,0.0101678,1.050(10),5700.40899201477,110.3533237660717,5.70(11)E+03,0.017634425597014013,0.0003926056401579268,0.01763(39),,
9p,2P,1/2,4d,2D,3/2,861.8267,0.0011,861.827(1),0.3517249,0.006511,0.3517(65),195786.9426854614,7248.669574674847,1.958(72)E+05,0.1605081744080681,0.005482635788408776,0.1605(55),,
9p,2P,1/2,5d,2D,3/2,1901.7286,0.0051,1901.729(5),1.241866,0.0196722,1.242(20),227164.88601004586,7196.965235632072,2.272(72)E+05,0.1862321390945184,0.005480246716367974,0.1862(55),,
9p,2P,1/2,6d,2D,3/2,4401.8289,0.0274,4401.83(3),4.1993504,0.0554617,4.199(55),209460.47112432984,5532.777981301897,2.095(55)E+05,0.1717178754092501,0.004524268493033989,0.1717(45),,
9p,2P,1/2,7d,2D,3/2,14731.9449,0.3069,14731.9(3),26.92048,0.614807,26.92(61),229626.8416878286,10488.395586562005,2.30(10)E+05,0.18825047599632772,0.007379958498014493,0.1883(74),,
8d,2D,3/2,9p,2P,1/2,38090.8849,2.0519,38091(2),67.175977,0.116577,67.18(12),41359.19853315092,143.70479334614666,4.136(14)E+04,0.019773256884368606,0.0005177868939645333,0.01977(52),,
9d,2D,3/2,9p,2P,1/2,11588.224,0.1899,11588.2(2),2.02749,0.2286844,2.03(23),1338.0554386519684,301.84357251708826,1.34(30)E+03,0.0008804764283867004,0.00019938108413460016,0.00088(20),,
10d,2D,3/2,9p,2P,1/2,7882.084,0.0669,7882.08(7),2.0054582,0.0560544,2.005(56),4160.172740799064,232.56132795260228,4.16(23)E+03,0.0037030619476106272,0.0002179310460801571,0.00370(22),,
11d,2D,3/2,9p,2P,1/2,6428.3464,2.0666,6428(2)*,1.6069947,0.2158406,1.61(22),4924.230608765551,1322.786863299634,4.9(13)E+03,0.0056444644010397,0.0015265992744010143,0.0056(15),,
12d,2D,3/2,9p,2P,1/2,5663.8291,1.6043,5664(2)*,1.2816558,0.1303044,1.28(13),4579.517376914529,931.1961525006548,4.58(93)E+03,0.006838317800741415,0.001402793669309986,0.0068(14),,
9p,2P,3/2,4d,2D,3/2,860.9897,0.001,860.990(1),0.1582699,0.0027292,0.1583(27),19879.713711296365,685.6100236086999,1.988(69)E+04,0.01515601128315948,0.0005572119909602199,0.01516(56),,
9p,2P,3/2,4d,2D,5/2,860.9566,0.001,860.957(1),0.4751471,0.007898,0.4751(79),179192.43281812544,5957.152394160162,1.792(60)E+05,0.1366137648202181,0.0043234141538275594,0.1366(43),,
9p,2P,3/2,5d,2D,3/2,1897.6578,0.0051,1897.658(5),0.5552675,0.0084225,0.5553(84),22853.784494080333,693.3091048885551,2.285(69)E+04,0.017423400592451975,0.0005743264455780454,0.01742(57),,
9p,2P,3/2,5d,2D,5/2,1898.725,0.0051,1898.725(5),1.6684756,0.0242025,1.668(24),205996.95421349572,5976.283353098227,2.060(60)E+05,0.1570491510942707,0.004373782202801282,0.1570(44),,
9p,2P,3/2,6d,2D,3/2,4380.0806,0.0271,4380.08(3),1.8674174,0.023416,1.867(23),21020.53694040873,527.1633731295344,2.102(53)E+04,0.016025758704255006,0.00045527842123994835,0.01603(46),,
9p,2P,3/2,6d,2D,5/2,4384.4265,0.0272,4384.43(3),5.6132079,0.0671483,5.613(67),189361.28153917874,4530.490306037806,1.894(45)E+05,0.14436635060647363,0.003552249430620435,0.1444(36),,
9p,2P,3/2,7d,2D,3/2,14491.1365,0.297,14491.1(3),11.704623,0.271026,11.70(27),22804.19960458033,1056.0846683063837,2.28(11)E+04,0.017385597777197687,0.0008280437845301694,0.01739(83),,
9p,2P,3/2,7d,2D,5/2,14522.8517,0.2983,14522.9(3),35.216902,0.780088,35.22(78),205094.44842624365,9086.08445155694,2.051(91)E+05,0.15636109350484292,0.006150385199515359,0.1564(62),,
8d,2D,3/2,9p,2P,3/2,39800.995,2.2403,39801(2),30.294765,0.051306,30.295(51),7373.27959890257,25.005198557432564,7.373(25)E+03,0.003525062301981403,0.00009229627815869753,0.003525(92),,
8d,2D,5/2,9p,2P,3/2,39641.1681,2.2223,39641(2),90.840678,0.146889,90.84(15),44733.97175289792,144.8647865642129,4.473(14)E+04,0.020639387829307503,0.000585890467378827,0.02064(59),,
9d,2D,3/2,9p,2P,3/2,11741.706,0.195,11741.7(2),1.2504681,0.1024546,1.25(10),489.2816739653344,80.17663227151638,4.89(80)E+02,0.00032196048707972555,0.00005321074500824844,0.000322(53),,
9d,2D,5/2,9p,2P,3/2,11732.132,0.1947,11732.1(2),3.6191626,0.2916698,3.62(29),2739.059266497147,441.4838430077315,2.74(44)E+03,0.0017422168326435698,0.00028333577718245024,0.00174(28),,
10d,2D,3/2,9p,2P,3/2,7952.7922,0.0681,7952.79(7),1.052262,0.0238639,1.052(24),1115.0547222963044,50.57591865004135,1.115(51)E+03,0.000992534918356751,0.00004877419167776457,0.000993(49),,
10d,2D,5/2,9p,2P,3/2,7949.6438,0.0681,7949.64(7),3.0996437,0.0678138,3.100(68),6457.978603536617,282.57450684439476,6.46(28)E+03,0.005562783739006916,0.0002675272299932563,0.00556(27),,
11d,2D,3/2,9p,2P,3/2,6475.3,2.0969,6475(2)*,0.8121343,0.09799,0.812(98),1230.504895964456,296.94140948394937,1.23(30)E+03,0.0014104824961310252,0.00034512578445958177,0.00141(35),,
11d,2D,5/2,9p,2P,3/2,6473.7909,2.0959,6474(2)*,2.4007784,0.2792484,2.40(28),7173.716534915123,1668.8473404624965,7.2(17)E+03,0.007981385246320787,0.0018776272180014361,0.0080(19),,
12d,2D,3/2,9p,2P,3/2,5700.2468,1.625,5700(2)*,0.6380087,0.0590151,0.638(59),1113.2162425272907,205.94474613824622,1.11(21)E+03,0.001662298845228494,0.0003128082867480126,0.00166(31),,
12d,2D,5/2,9p,2P,3/2,5699.2722,1.6244,5699(2)*,1.8888617,0.1689015,1.89(17),6508.15935701089,1163.9289858779491,6.5(12)E+03,0.009437526710530858,0.0017117972214942573,0.0094(17),,
8d,2D,3/2,4f,2F,5/2,2257.6819,0.0072,2257.682(7),1.1765054,0.0141565,1.177(14),60926.59759147756,1466.2192744103972,6.09(15)E+04,0.029128157894578503,0.001017204779405211,0.0291(10),,
8d,2D,3/2,5f,2F,5/2,5144.9513,0.0374,5144.95(4),4.777544,0.0519008,4.778(52),84893.20025093983,1844.4737409067686,8.49(18)E+04,0.040586256886784376,0.00135089864399039,0.0406(14),,
8d,2D,3/2,6f,2F,5/2,16850.2785,0.4015,16850.3(4),32.474913,0.212733,32.47(21),111655.99749906018,1462.868822145761,1.117(15)E+05,0.053381177574311565,0.0015355310446077098,0.0534(15),,
8d,2D,5/2,4f,2F,5/2,2257.1657,0.0072,2257.166(7),0.314269,0.0035903,0.3143(36),2900.205981093588,66.26559060661288,2.900(66)E+03,0.0013380988470980137,0.0000485497343035812,0.001338(49),,
8d,2D,5/2,4f,2F,7/2,2257.1524,0.0072,2257.152(7),1.40543,0.0160557,1.405(16),58003.185049709355,1325.2624746683573,5.80(13)E+04,0.026761545748472226,0.0009611318019045823,0.02676(96),,
