Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
10d,2D,3/2,5p,2P,1/2,508.9406,0.0001,508.9406(1),0.3971006,0.0066114,0.3971(66),605908.7374894859,20175.769201384534,6.06(20)E+05,0.539332794409674,0.008934282257250563,0.5393(89),,
11d,2D,3/2,5p,2P,1/2,501.616,0.0126,501.62(1)*,0.3392027,0.0124906,0.339(12),461755.3004986627,34006.82704265709,4.62(34)E+05,0.5292931145459648,0.020390846024599535,0.529(20),,
12d,2D,3/2,5p,2P,1/2,496.3875,0.0123,496.39(1)*,0.2903692,0.0092186,0.2904(92),349177.135479659,22171.26711179361,3.49(22)E+05,0.5214052103392671,0.01750616799352323,0.521(18),,
4d,2D,3/2,5p,2P,3/2,1529.2615,0.0024,1529.262(2),3.6184071,0.012493,3.618(12),1854372.1799952914,12804.903588414101,1.854(13)E+06,0.15473655845952478,0.0012007102101947759,0.1547(12),,
4d,2D,5/2,5p,2P,3/2,1529.3658,0.0024,1529.366(2),10.861994,0.036824,10.862(37),11137841.703402465,75518.35910622391,1.1138(76)E+07,1,0,1.0,,
5d,2D,3/2,5p,2P,3/2,776.157,0.0006,776.1570(6),0.6655096,0.034861,0.666(35),479807.6887877401,50266.97088344809,4.80(50)E+05,0.11681635009297482,0.012773455019543637,0.117(13),,
5d,2D,5/2,5p,2P,3/2,775.9786,0.0006,775.9786(6),1.9840992,0.1028062,1.98(10),2845073.918865801,294835.2969357343,2.85(29)E+06,0.6681341289316638,0.023177472483463996,0.668(23),,
6d,2D,3/2,5p,2P,3/2,630.0966,0.0004,630.0966(4),0.5063922,0.0166924,0.506(17),519230.13595627487,34231.16361212869,5.19(34)E+05,0.13665549819778058,0.009868508958754782,0.1367(99),,
6d,2D,5/2,5p,2P,3/2,630.0068,0.0004,630.0068(4),1.5116302,0.0484439,1.512(48),3085826.4862169833,197785.76768531918,3.09(20)E+06,0.7786068780688924,0.011857412743194577,0.779(12),,
7d,2D,3/2,5p,2P,3/2,572.6207,0.0003,572.6207(3),0.3697375,0.009185,0.3697(92),368801.9895538072,18323.52020418102,3.69(18)E+05,0.12775731910813187,0.006891862865942667,0.1278(69),,
7d,2D,5/2,5p,2P,3/2,572.5713,0.0003,572.5713(3),1.1041954,0.0264412,1.104(26),2193407.320724958,105047.20755038377,2.19(11)E+06,0.7312993646516168,0.01082950311218743,0.731(11),,
8d,2D,3/2,5p,2P,3/2,543.3337,0.0003,543.3337(3),0.2826936,0.0058182,0.2827(58),252370.91424121452,10388.239807531061,2.52(10)E+05,0.12065501978803263,0.005341102112658287,0.1207(53),,
8d,2D,5/2,5p,2P,3/2,543.3038,0.0003,543.3038(3),0.8444507,0.0166714,0.844(17),1501538.2417542948,59287.64027459022,1.502(59)E+06,0.6927806518788654,0.009665842263317851,0.6928(97),,
9d,2D,3/2,5p,2P,3/2,526.1687,0.0003,526.1687(3),0.2249844,0.0040404,0.2250(40),176009.86152810208,6321.773823647912,1.760(63)E+05,0.11581921777114777,0.00444202504299002,0.1158(44),,
9d,2D,5/2,5p,2P,3/2,526.1495,0.0003,526.1495(3),0.6722006,0.0115086,0.672(12),1047577.9913515595,35870.70908985114,1.048(36)E+06,0.666326586052178,0.008676914610480417,0.6663(87),,
10d,2D,3/2,5p,2P,3/2,515.1701,0.0001,515.1701(1),0.1846759,0.0029549,0.1847(30),126350.17730106231,4043.322804640189,1.264(40)E+05,0.11246709278412113,0.003822805818233219,0.1125(38),,
10d,2D,5/2,5p,2P,3/2,515.1569,0.0001,515.1569(1),0.5518272,0.008389,0.5518(84),752148.8237740909,22868.66788660733,7.52(23)E+05,0.6478871335857883,0.007833103076491009,0.6479(78),,
11d,2D,3/2,5p,2P,3/2,507.6664,0.0129,507.67(1)*,0.1574746,0.0054948,0.1575(55),96004.83138349264,6699.844447489771,9.60(67)E+04,0.11004680652188026,0.008235283745388467,0.1100(82),,
11d,2D,5/2,5p,2P,3/2,507.6571,0.0129,507.66(1)*,0.4702491,0.015767,0.470(16),570769.2396412874,38274.711919868816,5.71(38)E+05,0.6350305544071242,0.01877399594446568,0.635(19),,
12d,2D,3/2,5p,2P,3/2,502.3118,0.0126,502.31(1)*,0.1346977,0.0040578,0.1347(41),72511.62319151836,4368.862929170802,7.25(44)E+04,0.1082772447006851,0.006970131393134005,0.1083(70),,
12d,2D,5/2,5p,2P,3/2,502.3042,0.0126,502.30(1)*,0.4022462,0.0116819,0.402(12),431121.3607174364,25040.98659348914,4.31(25)E+05,0.625172054656007,0.016233568867099833,0.625(16),,
6s,2S,1/2,5p,2P,1/2,1323.8791,0.0018,1323.879(2),4.1462307,0.0081555,4.1462(82),7505839.7350955745,29527.49776521402,7.506(30)E+06,0.3409585959951331,0.0012943954889253336,0.3410(13),,
6s,2S,1/2,5p,2P,3/2,1366.8737,0.0019,1366.874(2),6.0475447,0.0127237,6.048(13),14508093.402999332,61048.48424838774,1.4508(61)E+07,0.6590414040048669,0.0012943954889253336,0.6590(13),,
6p,2P,1/2,6s,2S,1/2,2791.2915,0.011,2791.29(1),9.7197287,0.0245525,9.720(25),4400783.61968047,22233.241072003722,4.401(22)E+06,0.5402451163774521,0.015396000878097777,0.540(15),,
6p,2P,3/2,6s,2S,1/2,2732.18,0.0106,2732.18(1),13.644913,0.036115,13.645(36),4624033.244107742,24477.60044713009,4.624(24)E+06,0.5233992469082862,0.012555577181999502,0.523(13),,
7p,2P,1/2,6s,2S,1/2,1298.2781,0.0024,1298.278(2),0.9922136,0.0180716,0.992(18),455768.67711145594,16602.21009013016,4.56(17)E+05,0.12648726720918466,0.005396213206234014,0.1265(54),,
7p,2P,3/2,6s,2S,1/2,1292.3904,0.0024,1292.390(2),1.5397377,0.0247535,1.540(25),556313.5359963774,17887.082091966113,5.56(18)E+05,0.14191077827424725,0.005221970125509765,0.1419(52),,
8p,2P,1/2,6s,2S,1/2,1030.6696,0.0015,1030.670(2),0.3935522,0.0054221,0.3936(54),143312.32927132433,3948.923625871294,1.433(39)E+05,0.07232726394107582,0.0023213327028366836,0.0723(23),,
8p,2P,3/2,6s,2S,1/2,1028.6711,0.0015,1028.671(1),0.6284739,0.0095801,0.6285(96),183802.81789341886,5603.572061873274,1.838(56)E+05,0.08590346321174311,0.0028128050120276443,0.0859(28),,
9p,2P,1/2,6s,2S,1/2,923.6681,0.0012,923.668(1),0.2224333,0.0041527,0.2224(42),63604.68818282822,2374.9248880969376,6.36(24)E+04,0.052143785709047076,0.002009304181261273,0.0521(20),,
9p,2P,3/2,6s,2S,1/2,922.7067,0.0012,922.707(1),0.3632766,0.0059709,0.3633(60),85092.47093970893,2797.199920460133,8.51(28)E+04,0.06487329085334445,0.0021891284420875123,0.0649(22),,
10p,2P,1/2,6s,2S,1/2,867.9546,0.0011,867.955(1),0.1484873,0.0030082,0.1485(30),34160.554469474686,1384.1154146851968,3.42(14)E+04,0.04236736321777371,0.0017376496236451314,0.0424(17),,
10p,2P,3/2,6s,2S,1/2,867.4042,0.0011,867.404(1),0.2461253,0.004114,0.2461(41),47017.03048959707,1571.7853035568585,4.70(16)E+04,0.05440174579639684,0.0018471806399407082,0.0544(18),,
11p,2P,1/2,6s,2S,1/2,834.6521,0.001,834.652(1),0.1088502,0.0022409,0.1089(22),20643.30971242853,849.967991071075,2.064(85)E+04,0.03679525574372271,0.0015283898388117883,0.0368(15),,
11p,2P,3/2,6s,2S,1/2,834.306,0.001,834.306(1),0.182291,0.0032127,0.1823(32),28984.224005173266,1021.6370193367043,2.90(10)E+04,0.04828923014658501,0.001713738222084008,0.0483(17),,
12p,2P,1/2,6s,2S,1/2,812.9427,0.0034,812.943(3),0.0846548,0.0015434,0.0847(15),13513.277140403823,492.7397660437488,1.351(49)E+04,0.03326070241234505,0.0012362495802361007,0.0333(12),,
12p,2P,3/2,6s,2S,1/2,812.7088,0.0034,812.709(3),0.1428288,0.002229,0.1428(22),19250.143837586304,600.8392436667204,1.925(60)E+04,0.044354423180542224,0.0014110841713452836,0.0444(14),,
13p,2P,1/2,6s,2S,1/2,797.9241,0.0032,797.924(3),0.0685508,0.0012491,0.0686(12),9370.819773684289,341.5012404576684,9.37(34)E+03,0.030938753516225843,0.0011584367993296258,0.0309(12),,
13p,2P,3/2,6s,2S,1/2,797.7586,0.0032,797.759(3),0.1163001,0.0018113,0.1163(18),13494.38136391085,420.3328249671799,1.349(42)E+04,0.041745366775079604,0.0013354323782496388,0.0417(13),,
6p,2P,1/2,4d,2D,3/2,2293.8768,0.0074,2293.877(7),5.2700592,0.2613877,5.27(26),2331084.52994435,231237.1848451388,2.33(23)E+06,0.2861665425979072,0.020280475048252526,0.286(20),,
5d,2D,3/2,6p,2P,1/2,5036.6289,0.0359,5036.63(4),18.10774,0.1810774,18.11(18),1299918.0095608858,25998.37505082557,1.300(26)E+06,0.31648446001498826,0.019230351842197988,0.316(19),,
6d,2D,3/2,6p,2P,1/2,2011.2445,0.0057,2011.244(6),1.604787,0.0824784,1.605(82),160342.08429153854,16481.63726434773,1.60(16)E+05,0.042200222779010525,0.004570619755473341,0.0422(46),,
7d,2D,3/2,6p,2P,1/2,1523.2218,0.0033,1523.222(3),1.3292388,0.0459775,1.329(46),253235.08571558347,17518.471782306548,2.53(18)E+05,0.08772359307031548,0.006214372407682263,0.0877(62),,
8d,2D,3/2,6p,2P,1/2,1332.2038,0.0025,1332.204(3),1.0048725,0.027605,1.005(28),216330.23977964252,11885.679626952468,2.16(12)E+05,0.10342447520087489,0.005728981292655204,0.1034(57),,
9d,2D,3/2,6p,2P,1/2,1233.5363,0.0022,1233.536(2),0.7863051,0.0183236,0.786(18),166852.8766610703,7776.486228903422,1.669(78)E+05,0.10979367570643496,0.005120379215099906,0.1098(51),,
10d,2D,3/2,6p,2P,1/2,1174.739,0.0015,1174.739(1),0.6367918,0.0129089,0.637(13),126700.41975782192,5136.884790011329,1.267(51)E+05,0.11277885135639018,0.004559738173904547,0.1128(46),,
11d,2D,3/2,6p,2P,1/2,1136.4361,0.0646,1136.44(6)*,0.5393835,0.0302312,0.539(30),100407.83080397168,11255.267271803106,1.00(11)E+05,0.11509380278611951,0.012328968222740279,0.115(12),,
12d,2D,3/2,6p,2P,1/2,1109.9495,0.0616,1109.95(6)*,0.4576224,0.0215926,0.458(22),77573.2915790968,7320.496823051641,7.76(73)E+04,0.11583552960003154,0.01045232321735977,0.116(10),,
6p,2P,3/2,4d,2D,3/2,2253.8045,0.0072,2253.805(7),2.3022326,0.1161689,2.30(12),234507.62545130224,23666.151728659224,2.35(24)E+05,0.026544167845650144,0.00268353778977043,0.0265(27),,
6p,2P,3/2,4d,2D,5/2,2253.578,0.0072,2253.578(7),6.9046844,0.3425278,6.90(34),2109974.441248556,209343.3573269518,2.11(21)E+06,0.2388302538595448,0.01806065348978764,0.239(18),,
5d,2D,3/2,6p,2P,3/2,5241.2412,0.0388,5241.24(4),8.1593528,0.0856281,8.159(86),234215.8562006253,4915.94627044678,2.342(49)E+05,0.05702334934311957,0.0035773005758523505,0.0570(36),,
5d,2D,5/2,6p,2P,3/2,5233.117,0.0387,5233.12(4),24.489442,0.1675631,24.49(17),1413163.754780702,19338.489684522043,1.413(19)E+06,0.33186587106833615,0.023177472483463996,0.332(23),,
6d,2D,3/2,6p,2P,3/2,2043.0946,0.0059,2043.095(6),0.8330571,0.037245,0.833(37),41218.42922638483,3685.6546897974026,4.12(37)E+04,0.010848224305177692,0.0010782140858080732,0.0108(11),,
6d,2D,5/2,6p,2P,3/2,2042.1504,0.0059,2042.150(6),2.4647754,0.1099317,2.46(11),240883.79887110883,21487.366059692155,2.41(21)E+05,0.06077910843468629,0.005927392047234765,0.0608(59),,
7d,2D,3/2,6p,2P,3/2,1541.4206,0.0034,1541.421(3),0.6487063,0.0205981,0.649(21),58202.29070777762,3696.146039390456,5.82(37)E+04,0.020161953669973205,0.0014174566341489813,0.0202(14),,
7d,2D,5/2,6p,2P,3/2,1541.0626,0.0034,1541.063(3),1.9293323,0.0598367,1.929(60),343454.54831650306,21303.937002713323,3.43(21)E+05,0.11451046533735078,0.007462271163635479,0.1145(75),,
