Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
4d.5p,3D,3,5s.4d,3D,2,545.235,0,545.2352(2),2.36521,0.01579,2.365(16),9989804.052579528,133382.66453315414,9.99(13)E+06,0.1313592278321854,0.0016908580386870247,0.1314(17),,
4d.5p,3P,1,5s.4d,3D,2,524.001,0,524.0006(2),3.57574,0.01879,3.576(19),60018138.73535114,630773.3933883604,6.002(63)E+07,0.6958671129640239,0.00843201352083003,0.6959(84),,
4d.5p,3P,2,5s.4d,3D,2,523.073,0,523.0725(1),2.45131,0.06813,2.451(68),17014061.38478294,945753.9047654208,1.701(95)E+07,0.1990014682750112,0.008935902041319532,0.1990(89),,
4d.5p,1F,3,5s.4d,3D,2,505.332,0,505.3323(4),0.05255,0.02324,0.053(23),6194.175241932505,5478.69201227446,6.2(55)E+03,0.001857088303084045,0.0016724270942413833,0.0019(17),,
5s.7p,1P,1,5s.4d,3D,2,483.37,0,483.3703(2),0.11506,0.01755,0.115(18),79168.96633111114,24151.144778567712,7.9(24)E+04,0.0033203949998522483,0.001026093551596538,0.0033(10),,
5s.4d,3D,3,5s.5p,3P,2,2923.365,0.005,2923.365(5),5.56969,0.07988,5.570(80),359403.5573797592,10309.068053278997,3.59(10)E+05,1,0,1.0,,
4d.5p,3F,2,5s.4d,3D,3,669.004,0,669.0042(2),0.2051,0.01555,0.205(16),56930.127232597646,8632.505884611344,5.69(86)E+04,0.0015243949284321936,0.00023791357679960276,0.00152(24),,
4d.5p,3F,3,5s.4d,3D,3,654.86,0,654.8596(3),2.16046,0.01777,2.160(18),4810797.3406343,79138.58043478846,4.811(79)E+06,0.13147200695163305,0.0026070608028969833,0.1315(26),,
4d.5p,1D,2,5s.4d,3D,3,644.844,0,644.8435(2),0.83667,0.2313,0.84(23),1057895.2336255587,584916.7952420708,1.06(58)E+06,0.022530280370032296,0.012190830022908687,0.023(12),,
5s.6p,3P,2,5s.4d,3D,3,638.822,0,638.8224(2),2.01341,0.0685,2.013(69),6301173.247821104,428755.5614363151,6.30(43)E+06,0.3700558794951159,0.052477913983530744,0.370(52),,
4d.5p,3F,4,5s.4d,3D,3,641.023,0,641.0234(3),6.66039,0.05215,6.660(52),37914245.9273379,593727.3718538018,3.791(59)E+07,1,0,1.0,,
4d.5p,3D,2,5s.4d,3D,3,553.634,0,553.6337(3),2.55342,0.06597,2.553(66),15569487.331180904,804504.6089072728,1.557(80)E+07,0.20687767299041027,0.008602306196330912,0.2069(86),,
4d.5p,3D,3,5s.4d,3D,3,548.239,0,548.2387(2),6.13218,0.01971,6.132(20),66052621.39802275,424611.53056662664,6.605(42)E+07,0.8685477009827345,0.0016912855138245288,0.8685(17),,
4d.5p,3P,2,5s.4d,3D,3,525.836,0,525.8362(2),4.86982,0.01706,4.870(17),66095478.143471815,463092.62236699887,6.610(46)E+07,0.7730721606925485,0.00879533853715395,0.7731(88),,
4d.5p,1F,3,5s.4d,3D,3,507.911,0,507.9112(4),0.33656,0.01502,0.337(15),250225.11505335028,22334.093345028057,2.50(22)E+05,0.07502050170580235,0.014694920728442576,0.075(15),,
5s.4d,1D,2,5s.5p,3P,1,1771.369,0.001,1771.369(1),0.18647,0.01519,0.186(15),2535.0591229897823,413.0160141609413,2.54(41)E+03,0.804361710314627,0.05622954479081831,0.804(56),,
5s.4d,1D,2,5s.5p,3P,2,1904.348,0.002,1904.348(2),0.10251,0.0163,0.103(16),616.5816009305435,196.08389612059494,6.2(20)E+02,0.195638289685373,0.05622954479081831,0.196(56),,
5s.5p,1P,1,5s.4d,1D,2,6456.749,0.021,6456.75(2),1.92557,0.01604,1.926(16),9302.998132459574,154.9879938266886,9.30(15)E+03,0.0000486930520117867,8.145576496926397e-7,0.00004869(81),,
4d.5p,3F,2,5s.4d,1D,2,762.36,0,762.3598(2),3.00997,0.22689,3.01(23),8285938.026462456,1249179.545858641,8.3(12)E+06,0.22186920210518013,0.026325314661136415,0.222(26),,
4d.5p,3F,3,5s.4d,1D,2,744.046,0,744.0463(4),0.22733,0.01793,0.227(18),36314.73702877958,5728.440900242096,3.63(57)E+04,0.000992428286007354,0.00015700336028265268,0.00099(16),,
4d.5p,1D,2,5s.4d,1D,2,731.143,0,731.1431(2),6.11307,0.01501,6.113(15),38744402.4173601,190265.6047729128,3.874(19)E+07,0.8251499973592379,0.023756807461362262,0.825(24),,
5s.6p,3P,1,5s.4d,1D,2,728.936,0,728.9357(4),0.67091,0.08349,0.671(83),784886.7573413285,195347.2011757986,7.8(20)E+05,0.05031167745528317,0.011941700027815942,0.050(12),,
5s.6p,3P,2,5s.4d,1D,2,723.412,0,723.4121(3),1.50439,0.71123,1.50(71),2422484.008686784,2290554.0471530673,2.4(23)E+06,0.14226786268849675,0.11545316197321707,0.14(12),,
5s.6p,1P,1,5s.4d,1D,2,716.912,0,716.9117(3),2.25724,0.07673,2.257(77),9339088.778528119,634924.3164009698,9.34(63)E+06,0.6232784176107812,0.022681490337307035,0.623(23),,
4d.5p,3D,1,5s.4d,1D,2,620.56,0,620.5604(3),0.06235,0.0249,0.062(25),10986.686272681907,8775.252227418749,1.10(88)E+04,0.0001470091782700687,0.00011741453515205311,0.00015(12),,
4d.5p,3D,2,5s.4d,1D,2,616.065,0,616.0647(3),0.2562,0.05069,0.256(51),113756.58652996481,45014.21835444119,1.14(45)E+05,0.0015115268350243362,0.0005975293739044798,0.00151(60),,
4d.5p,3D,3,5s.4d,1D,2,609.392,0,609.3917(2),0.04516,0.02615,0.045(26),2608.480252189985,3020.8927632758246,2.6(30)E+03,0.00003429976703644187,0.0000397218598750076,<0.000074,,
4d.5p,3P,1,5s.4d,1D,2,582.987,0,582.9868(2),0.06047,0.0163,0.060(16),12463.779188904624,6719.351770436427,1.25(67)E+04,0.00014450854730847562,0.00007792026504093925,0.000145(78),,
4d.5p,3P,2,5s.4d,1D,2,581.838,0,581.8383(2),0.42013,0.01755,0.420(18),363126.3764224086,30337.59982011887,3.63(30)E+05,0.004247232947100691,0.00035729356070695733,0.00425(36),,
4d.5p,1F,3,5s.4d,1D,2,559.971,0.001,559.9713(5),0.4423,0.29782,0.44(30),322482.2091059224,434282.84655973676,3.2(43)E+05,0.09668404833449128,0.11819516872816337,<0.21,,
5s.7p,1P,1,5s.4d,1D,2,533.129,0,533.1294(3),1.96301,0.05382,1.963(54),17174860.894742806,941769.0315943961,1.717(94)E+07,0.7203241987466977,0.029965545688338487,0.720(30),,
5s.6s,3S,1,5s.5p,3P,0,679.289,0,679.2894(2),1.968,0.008,1.968(8),8345103.371989731,67846.36887796529,8.345(68)E+06,0.11614461092770634,0.0010260912832882314,0.1161(10),,
5s.6s,3S,1,5s.5p,3P,1,688.021,0,688.0211(2),3.435,0.014,3.435(14),24467768.099616718,199446.1446256967,2.447(20)E+07,0.34053495559297736,0.002371482561165504,0.3405(24),,
5s.6s,3S,1,5s.5p,3P,2,707.202,0,707.2022(3),4.521,0.018,4.521(18),39028719.51766966,310779.4520318752,3.903(31)E+07,0.5431898493434144,0.002537853275625818,0.5432(25),,
5s.6s,3S,1,5s.5p,1P,1,1362.338,0.001,1362.338(1),0.18742,0.01554,0.187(16),9382.597299511102,1555.9231890647525,9.4(16)E+03,0.00013058413590187054,0.000021662787603749875,0.000131(22),,
4d.5p,3F,2,5s.6s,3S,1,2365.141,0.003,2365.141(3),0.30489,0.04154,0.305(42),2847.164992370037,775.8288812003252,2.85(78)E+03,0.00007623738230982576,0.00002097234062686309,0.000076(21),,
4d.5p,1D,2,5s.6s,3S,1,2088.5,0.002,2088.500(2),2.62934,1.38226,2.6(14),307530.0158018854,323340.79247560294,3.1(32)E+05,0.006549549764461236,0.0068436729721157285,<0.013,,
5s.6p,3P,0,5s.6s,3S,1,2076.965,0.003,2076.965(3),5.5535,0.03075,5.554(31),6974501.226888562,77236.31192779302,6.975(77)E+06,0.44797753426534986,0.007946894231629129,0.4480(79),,
5s.6p,3P,1,5s.6s,3S,1,2070.589,0.003,2070.589(3),9.136,0.1876,9.14(19),6350042.257444494,260785.44968666768,6.35(26)E+06,0.4070412386191284,0.01247677301536847,0.407(12),,
5s.6p,3P,2,5s.6s,3S,1,2026.633,0.002,2026.633(2),12.05427,0.16101,12.05(16),7073814.5793284485,188971.19318083685,7.07(19)E+06,0.4154316303624797,0.057305072687522204,0.415(57),,
5s.6p,1P,1,5s.6s,3S,1,1976.429,0.003,1976.429(3),2.94481,0.39547,2.94(40),758607.5228403931,203752.715523791,7.6(20)E+05,0.05062846147374496,0.013134028196377883,0.051(13),,
4d.5p,3D,1,5s.6s,3S,1,1384.011,0.002,1384.011(2),0.12965,0.01513,0.130(15),4282.2578256481775,999.4687375739853,4.3(10)E+03,0.00005729946122648662,0.000013390225390256112,0.000057(13),,
4d.5p,3D,2,5s.6s,3S,1,1361.846,0.002,1361.846(2),0.24988,0.01733,0.250(17),10017.88613609177,1389.5467170325658,1.00(14)E+04,0.00013311144599906143,0.00001853939984523748,0.000133(19),,
4d.5p,3P,0,5s.6s,3S,1,1211.636,0.001,1211.636(1),0.59056,0.09609,0.591(96),397263.27210146625,129277.39033234499,4.0(13)E+05,0.0045876960516682075,0.0014887869439723074,0.0046(15),,
4d.5p,3P,1,5s.6s,3S,1,1210.074,0.001,1210.074(1),1.02036,0.16127,1.02(16),396841.6132089683,125443.26897208564,4.0(13)E+05,0.004601092828042945,0.001449106225530766,0.0046(14),,
4d.5p,3P,2,5s.6s,3S,1,1205.136,0.001,1205.1361(8),1.31048,0.19475,1.31(19),397603.14623980154,118175.34450417748,4.0(12)E+05,0.004650483391534674,0.0013769981879609868,0.0047(14),,
5s.7p,1P,1,5s.6s,3S,1,1013.368,0.001,1013.368(1),0.01703,0.015,0.017(15),188.22356433196126,331.57410040909053,1.9(33)E+02,0.000007894211719884669,0.000013913155985149919,<0.000022,,
5s.7p,3P,0,5s.6s,3S,1,964.051,0.001,964.0509(8),0.5889,0.02225,0.589(22),784242.7030495546,59260.99561096619,7.84(59)E+05,0.1409399964075428,0.01937061785130492,0.141(19),,
5s.5d,1D,2,5s.5p,3P,1,494.484,0,494.4837(1),0.01562,0.01501,0.016(15),817.7176792852681,1571.5675244650288,8\(16)E+02,0.00006533320237759266,0.0001255663354455546,<0.00019,,
5s.5d,1D,2,5s.5p,3P,2,504.314,0,504.3144(2),0.36559,0.0247,0.366(25),422261.9196045738,57057.73907510038,4.22(57)E+05,0.03373746728087086,0.004485017590747263,0.0337(45),,
5s.5d,1D,2,5s.5p,1P,1,767.519,0,767.5189(4),3.66917,0.04759,3.669(48),12066066.73074998,312999.4607589136,1.207(31)E+07,0.9640427247588169,0.004489341080701604,0.9640(45),,
5s.5d,1D,2,4d.5p,3F,2,6846.52,0.027,6846.52(3),0.97255,0.10155,0.97(10),1194.2946858848784,249.40748659962594,1.19(25)E+03,0.00009542058144028432,0.000020072116046345002,0.000095(20),,
5s.5d,1D,2,4d.5p,3F,3,8789.37,0.066,8789.37(7),0.02506,0.01514,0.025(15),0.37478847430098483,0.4528569434878747,3.7(45)E-01,2.994448066929127e-8,3.618992361060613e-8,<6.6E-8,,
5s.5d,1D,2,4d.5p,1D,2,11104.35,0.072,11104.35(7),1.76736,0.06884,1.767(69),924.4170433397695,72.01347914104383,9.24(72)E+02,0.00007385816315797623,0.000006051841587591551,0.0000739(61),,
5s.5d,1D,2,5s.6p,3P,1,11639.682,0.106,11639.7(1),4.90897,0.49399,4.91(49),6192.338832470463,1246.2710051338142,6.2(12)E+03,0.0004947493938079361,0.00010031556950805049,0.00049(10),,
5s.5d,1D,2,5s.6p,3P,2,13255.884,0.113,13255.9(1),0.69641,0.23434,0.70(23),84.37256495623485,56.78226012297095,8.4(57)E+01,0.000006741116159088508,0.000004539937795305574,0.0000067(45),,
